Key Word	Redshift
ABORT	non-reserved
ABSOLUTE	non-reserved
ACCEPTANYDATE	non-reserved
ACCEPTINVCHARS	non-reserved
ACCESS	non-reserved
ACTION	non-reserved
ADD	non-reserved
ADMIN	non-reserved
AES128	reserved
AES256	reserved
AFTER	non-reserved
AGGREGATE	non-reserved
ALL	reserved
ALLOWOVERWRITE	reserved
ALTER	non-reserved
ALWAYS	non-reserved
ANALYSE	reserved
ANALYZE	reserved
AND	reserved
ANY	reserved
ARRAY	reserved
AS	reserved
ASC	reserved
ASSERTION	non-reserved
ASSIGNMENT	non-reserved
AT	non-reserved
ATTRIBUTE	non-reserved
AUTHORIZATION	reserved
AUTO	non-reserved
AVRO	non-reserved
AZ64	reserved
BACKUP	reserved
BEFORE	non-reserved
BEGIN	non-reserved
BETWEEN	reserved
BINARY	reserved
BLANKSASNULL	reserved
BOTH	reserved
BY	non-reserved
BYTEDICT	reserved
BZIP2	reserved
CACHE	non-reserved
CALL	non-reserved
CALLED	non-reserved
CASCADE	non-reserved
CASCADED	non-reserved
CASE	reserved
CAST	reserved
CATALOG	non-reserved
CHAIN	non-reserved
CHARACTERISTICS	non-reserved
CHECK	reserved
CHECKPOINT	non-reserved
CLASS	non-reserved
CLOSE	non-reserved
CLUSTER	non-reserved
COLLATE	reserved
COLUMN	reserved
COMMENT	non-reserved
COMMIT	non-reserved
COMMITTED	non-reserved
COMPOUND	non-reserved
COMPROWS	non-reserved
COMPUPDATE	non-reserved
CONCURRENTLY	non-reserved
CONFIGURATION	non-reserved
CONNECT	non-reserved
CONNECTION	non-reserved
CONSTRAINT	reserved
CONSTRAINTS	non-reserved
CONTENT	non-reserved
CONTINUE	non-reserved
CONVERSION	non-reserved
COPY	non-reserved
COST	non-reserved
CREATE	reserved
CREDENTIALS	reserved
CROSS	reserved
CSV	non-reserved
CURRENT	non-reserved
CURRENT_DATE	reserved
CURRENT_TIME	reserved
CURRENT_TIMESTAMP	reserved
CURRENT_USER	reserved
CURRENT_USER_ID	reserved
CURSOR	non-reserved
CYCLE	non-reserved
DATA	non-reserved
DATABASE	non-reserved
DATAMASKING	non-reserved
DATASHARE	non-reserved
DATEFORMAT	non-reserved
DAY	non-reserved
DEALLOCATE	non-reserved
DECLARE	non-reserved
DEFAULT	reserved
DEFAULTS	non-reserved
DEFERRABLE	reserved
DEFERRED	non-reserved
DEFINER	non-reserved
DEFLATE	reserved
DEFRAG	reserved
DELETE	non-reserved
DELIMITER	non-reserved
DELIMITERS	non-reserved
DELTA	reserved
DELTA32K	reserved
DESC	reserved
DICTIONARY	non-reserved
DISABLE	reserved
DISCARD	non-reserved
DISTINCT	reserved
DISTKEY	non-reserved
DISTSTYLE	non-reserved
DO	reserved
DOCUMENT	non-reserved
DOMAIN	non-reserved
DOUBLE	non-reserved
DROP	non-reserved
EACH	non-reserved
ELSE	reserved
EMPTYASNULL	reserved
ENABLE	reserved
ENCODE	reserved
ENCODING	non-reserved
ENCRYPT	reserved
ENCRYPTION	reserved
END	reserved
ENUM	non-reserved
ESCAPE	non-reserved
EVEN	non-reserved
EXCEPT	reserved
EXCLUDE	non-reserved
EXCLUDING	non-reserved
EXCLUSIVE	non-reserved
EXECUTE	non-reserved
EXPLAIN	non-reserved
EXPLICIT	reserved
EXPLICIT_IDS	non-reserved
EXTENSION	non-reserved
EXTERNAL	non-reserved
FALSE	reserved
FAMILY	non-reserved
FILLRECORD	non-reserved
FIRST	non-reserved
FIXEDWIDTH	non-reserved
FOLLOWING	non-reserved
FOR	reserved
FORCE	non-reserved
FOREIGN	reserved
FORMAT	non-reserved
FORWARD	non-reserved
FREEZE	reserved
FROM	reserved
FULL	reserved
FUNCTION	non-reserved
FUNCTIONS	non-reserved
GEOMETRY	non-reserved
GLOBAL	non-reserved
GLOBALDICT256	reserved
GLOBALDICT64K	reserved
GRANT	reserved
GRANTED	non-reserved
GROUP	reserved
GROUPS	non-reserved
GZIP	reserved
HANDLER	non-reserved
HAVING	reserved
HEADER	non-reserved
HLLSKETCH	non-reserved
HOLD	non-reserved
HOUR	non-reserved
IAM_ROLE	non-reserved
IDENTITY	reserved
IF	non-reserved
IGNORE	reserved
ILIKE	reserved
IMMEDIATE	non-reserved
IMMUTABLE	non-reserved
IMPLICIT	non-reserved
IN	reserved
INCLUDING	non-reserved
INCREMENT	non-reserved
INDEX	non-reserved
INDEXES	non-reserved
INHERIT	non-reserved
INHERITS	non-reserved
INITIALLY	reserved
INLINE	non-reserved
INNER	reserved
INSENSITIVE	non-reserved
INSERT	non-reserved
INSTEAD	non-reserved
INTERLEAVED	non-reserved
INTERSECT	reserved
INTERVAL	reserved
INTO	reserved
INVOKER	non-reserved
IS	reserved
ISNULL	reserved
ISOLATION	non-reserved
JOIN	reserved
JSON	non-reserved
KEY	non-reserved
LABEL	non-reserved
LANGUAGE	reserved
LARGE	non-reserved
LAST	non-reserved
LATERAL	non-reserved
LEADING	reserved
LEAKPROOF	non-reserved
LEFT	reserved
LEVEL	non-reserved
LIBRARY	non-reserved
LIKE	reserved
LIMIT	reserved
LISTEN	non-reserved
LOAD	non-reserved
LOCAL	non-reserved
LOCALTIME	reserved
LOCALTIMESTAMP	reserved
LOCATION	non-reserved
LOCK	non-reserved
LUN	reserved
LUNS	reserved
LZO	reserved
LZOP	reserved
MANIFEST	non-reserved
MAPPING	non-reserved
MASKING	non-reserved
MATCH	non-reserved
MATERIALIZED	non-reserved
MAXERROR	non-reserved
MAXFILESIZE	non-reserved
MAXVALUE	non-reserved
MINUS	reserved
MINUTE	non-reserved
MINVALUE	non-reserved
MODE	non-reserved
MONTH	non-reserved
MOSTLY16	reserved
MOSTLY32	reserved
MOSTLY8	reserved
MOVE	non-reserved
NAME	non-reserved
NAMES	non-reserved
NATURAL	reserved
NEW	reserved
NEXT	non-reserved
NO	non-reserved
NOLOAD	non-reserved
NOT	reserved
NOTHING	non-reserved
NOTIFY	non-reserved
NOTNULL	reserved
NOWAIT	non-reserved
NULL	reserved
NULLIF	non-reserved
NULLS	reserved
OBJECT	non-reserved
OF	non-reserved
OFF	reserved
OFFLINE	reserved
OFFSET	reserved
OID	reserved
OIDS	non-reserved
OLD	reserved
ON	reserved
ONLY	reserved
OPEN	reserved
OPERATOR	non-reserved
OPTION	non-reserved
OPTIONS	non-reserved
OR	reserved
ORC	non-reserved
ORDER	reserved
OUTER	reserved
OVER	non-reserved
OVERLAPS	reserved
OWNED	non-reserved
OWNER	non-reserved
PARALLEL	reserved
PARQUET	non-reserved
PARSER	non-reserved
PARTIAL	non-reserved
PARTITION	reserved
PASSING	non-reserved
PASSWORD	non-reserved
PERCENT	reserved
PERMISSIONS	reserved
PIVOT	reserved
PLACING	reserved
PLANS	non-reserved
PRECEDING	non-reserved
PREPARE	non-reserved
PREPARED	non-reserved
PRESERVE	non-reserved
PRIMARY	reserved
PRIOR	non-reserved
PRIVILEGES	non-reserved
PROCEDURAL	non-reserved
PROCEDURE	non-reserved
PROGRAM	non-reserved
QUALIFY	non-reserved
QUOTE	non-reserved
RANGE	non-reserved
RAW	reserved
READ	non-reserved
READRATIO	reserved
REASSIGN	non-reserved
RECHECK	non-reserved
RECOVER	reserved
RECURSIVE	non-reserved
REF	non-reserved
REFERENCES	reserved
REFRESH	non-reserved
REGION	non-reserved
REINDEX	non-reserved
REJECTLOG	reserved
RELATIVE	non-reserved
RELEASE	non-reserved
REMOVEQUOTES	non-reserved
RENAME	non-reserved
REPEATABLE	non-reserved
REPLACE	non-reserved
REPLICA	non-reserved
RESET	non-reserved
RESORT	reserved
RESPECT	reserved
RESTART	non-reserved
RESTORE	reserved
RESTRICT	non-reserved
RETURNING	non-reserved
RETURNS	non-reserved
REVOKE	non-reserved
RIGHT	reserved
ROLE	non-reserved
ROLLBACK	non-reserved
ROLLUP	non-reserved
ROUNDEC	non-reserved
ROW	non-reserved
ROWS	non-reserved
RULE	non-reserved
SAVEPOINT	non-reserved
SCHEMA	non-reserved
SCROLL	non-reserved
SEARCH	non-reserved
SECOND	non-reserved
SECURITY	non-reserved
SELECT	reserved
SEQUENCE	non-reserved
SEQUENCES	non-reserved
SERIALIZABLE	non-reserved
SERVER	non-reserved
SESSION	non-reserved
SESSION_USER	reserved
SET	non-reserved
SHARE	non-reserved
SHOW	non-reserved
SIMILAR	reserved
SIMPLE	non-reserved
SNAPSHOT	reserved
SOME	reserved
SORTKEY	non-reserved
SSH	non-reserved
STABLE	non-reserved
STANDALONE	non-reserved
START	non-reserved
STATEMENT	non-reserved
STATISTICS	non-reserved
STATUPDATE	non-reserved
STDIN	non-reserved
STDOUT	non-reserved
STORAGE	non-reserved
STRICT	non-reserved
STRIP	non-reserved
STYLE	non-reserved
SUPER	non-reserved
SYSDATE	reserved
SYSID	non-reserved
SYSTEM	reserved
TABLE	reserved
TABLES	non-reserved
TAG	reserved
TDES	reserved
TEMP	non-reserved
TEMPLATE	non-reserved
TEMPORARY	non-reserved
TEXT255	reserved
TEXT32K	reserved
THEN	reserved
TIMEFORMAT	non-reserved
TIMESTAMP	reserved
TO	reserved
TOP	reserved
TRAILING	reserved
TRANSACTION	non-reserved
TRIGGER	non-reserved
TRIMBLANKS	non-reserved
TRUE	reserved
TRUNCATE	non-reserved
TRUNCATECOLUMNS	reserved
TRUSTED	non-reserved
TYPE	non-reserved
TYPES	non-reserved
UNBOUNDED	non-reserved
UNCOMMITTED	non-reserved
UNENCRYPTED	non-reserved
UNION	reserved
UNIQUE	reserved
UNKNOWN	non-reserved
UNLISTEN	non-reserved
UNLOAD	non-reserved
UNLOGGED	non-reserved
UNNEST	reserved
UNPIVOT	reserved
UNTIL	non-reserved
UPDATE	non-reserved
USER	reserved
USING	reserved
VACUUM	non-reserved
VALID	non-reserved
VALIDATE	non-reserved
VALIDATOR	non-reserved
VALUE	non-reserved
VALUES	non-reserved
VARBYTE	non-reserved
VARYING	non-reserved
VERBOSE	reserved
VERSION	non-reserved
VIEW	non-reserved
VOLATILE	non-reserved
WALLET	reserved
WHEN	reserved
WHERE	reserved
WHITESPACE	non-reserved
WINDOW	non-reserved
WITH	reserved
WITHOUT	reserved
WORK	non-reserved
WRAPPER	non-reserved
WRITE	non-reserved
XML	non-reserved
YEAR	non-reserved
YES	non-reserved
ZONE	non-reserved
ZSTD	non-reserved
